Periodo em anos,nome cometa
5.41998122438597,X/1979 O3 
3.8265658336343864,X/1981 R1 
1.4301565556676958,3200 Phaeton 
3.7332375617435605,X/1991 G1 
7.339092301254124,P/1996 R2 
9.538324628359401,P/1998 VS 
5.44763079779225,P/1999 J6 
6.610056804432095,P/1999 RO 
8.529390287158952,P/1999 XN 
